StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours
1.0,John,Male,0.5999999999999996,0.31818181818181823,A,0.3333333333333333,High,A,0.98
2.0,Sarah,Female,0.7999999999999998,0.5454545454545455,A,0.6666666666666666,Medium,A,0.72
3.0,Alex,Male,0.31999999999999984,0.09090909090909094,B,0.0,Low,B,0.96
4.0,Michael,Male,0.8799999999999999,0.7727272727272728,A,1.0,High,A,0.79
7.0,Daniel,Male,0.0,0.0,C,0.0,Low,C,0.95
9.0,James,Male,0.48,0.18181818181818177,B,0.6666666666666666,Low,B,0.8600000000000001
10.0,Isabella,Female,0.8399999999999999,0.6363636363636364,A,1.0,High,A,0.79
4611.0,Katherine Gray,Female,0.8399999999999999,0.4545454545454546,A,0.0,Low,C,0.67
6514.0,Megan Miller,Male,0.7999999999999998,0.0,A,0.3333333333333333,Medium,A,0.63
8573.0,James Smith,Female,0.7199999999999998,0.18181818181818177,A,0.3333333333333333,High,A,0.9099999999999999
5386.0,James Reynolds,Male,0.8799999999999999,0.6363636363636364,A,1.0,Low,A,0.7
3340.0,Brittany Sutton,Female,0.31999999999999984,0.7727272727272728,B,0.6666666666666666,Medium,A,0.71
6930.0,Annette Medina,Male,0.31999999999999984,0.18181818181818177,A,0.6666666666666666,High,A,0.5800000000000001
2040.0,James Duncan,Female,0.0,0.6363636363636364,A,0.6666666666666666,Medium,B,0.9299999999999999
9837.0,Susan Brown,Male,0.8399999999999999,1.0,A,0.3333333333333333,High,A,0.9400000000000001
8177.0,Peter Jones,Female,0.7999999999999998,0.7727272727272728,A,0.6666666666666666,Medium,A,0.79
4510.0,Daniel Erickson,Male,0.8399999999999999,0.6363636363636364,A,1.0,Medium,C,0.6
4139.0,Benjamin Vance,Male,0.48,0.40909090909090906,B,0.0,High,A,0.73
3536.0,Scott Davidson,Male,0.7199999999999998,0.7727272727272728,A,1.0,Low,B,0.53
1821.0,Alexandra Harrington,Female,0.48,0.18181818181818177,B,0.3333333333333333,Low,A,0.9299999999999999
4853.0,Richard Johnson,Female,0.7999999999999998,0.6363636363636364,A,1.0,Low,A,0.81
1152.0,Jerry Browning,Female,0.8399999999999999,0.6363636363636364,A,0.6666666666666666,Low,A,0.75
2127.0,Carrie Page,Male,1.0,0.4545454545454546,B,0.3333333333333333,Low,A,0.81
5905.0,Michelle Benjamin,Male,0.31999999999999984,0.4545454545454546,A,0.6666666666666666,Low,B,0.5800000000000001
6617.0,James Woods,Male,0.7199999999999998,0.18181818181818177,A,0.6666666666666666,High,A,0.8200000000000001
1058.0,Angela Dunn,Female,0.31999999999999984,0.4545454545454546,B,0.3333333333333333,Low,C,0.78
3442.0,Nathan Riley,Male,1.0,0.6363636363636364,B,0.0,Medium,B,0.52
6862.0,Shelby Mahoney,Male,0.8799999999999999,0.5454545454545455,A,0.6666666666666666,Medium,A,0.8700000000000001
3900.0,Andrea Frey,Female,0.5999999999999996,0.09090909090909094,A,0.0,Low,A,0.63
7267.0,Justin Martin,Male,0.5999999999999996,0.7727272727272728,A,0.3333333333333333,Medium,A,0.9099999999999999
1387.0,Mark Hartman,Male,0.0,1.0,A,0.6666666666666666,Medium,A,0.8200000000000001
1452.0,Antonio Hansen,Male,0.7199999999999998,0.09090909090909094,A,0.6666666666666666,High,A,0.8
8149.0,Lynn Anderson,Male,0.0,0.6363636363636364,A,0.6666666666666666,High,C,0.5
6967.0,Michael Cooley,Female,0.7999999999999998,1.0,A,0.3333333333333333,Low,A,0.8600000000000001
7691.0,Mitchell Sanders,Female,0.0,0.4545454545454546,B,0.0,High,C,0.8300000000000001
8618.0,Lisa Castillo,Female,0.5999999999999996,0.7727272727272728,B,0.3333333333333333,Low,B,0.8300000000000001
2530.0,Theresa Rodriguez,Male,0.7199999999999998,0.7727272727272728,A,0.0,High,A,0.62
8461.0,Kimberly Wood,Female,0.8399999999999999,0.7727272727272728,C,0.3333333333333333,Medium,A,0.57
2746.0,Patricia Cox,Female,0.8799999999999999,0.09090909090909094,B,0.3333333333333333,High,B,0.62
3184.0,Kimberly Blair,Female,0.48,0.18181818181818177,A,0.3333333333333333,Medium,A,0.9099999999999999
9976.0,Jason Ramirez,Female,0.31999999999999984,0.40909090909090906,A,0.6666666666666666,High,A,0.88
4919.0,Gail Dudley,Female,0.5999999999999996,0.5454545454545455,A,1.0,Medium,A,0.66
3267.0,John West,Male,0.8799999999999999,0.0,B,1.0,High,C,0.7
7812.0,Patricia Carr,Male,0.8799999999999999,0.0,C,1.0,Low,A,0.9299999999999999
8814.0,David Nunez,Male,1.0,0.4545454545454546,C,0.0,Low,B,0.9
4595.0,Collin Peterson,Female,0.0,0.40909090909090906,A,0.0,Medium,C,0.8600000000000001
9751.0,Rebecca Smith,Male,0.0,0.6363636363636364,A,0.3333333333333333,High,C,0.57
1823.0,Lisa Benjamin,Female,0.0,1.0,A,0.3333333333333333,Medium,A,0.88
7906.0,Desiree Reyes,Female,0.7999999999999998,0.40909090909090906,A,0.6666666666666666,High,A,0.61
1508.0,Megan Diaz,Male,0.8799999999999999,0.31818181818181823,A,0.0,High,B,0.74
8619.0,Joseph Adams,Female,1.0,0.09090909090909094,A,1.0,Low,A,0.89
2771.0,Sharon Watson,Male,0.7199999999999998,0.6363636363636364,C,0.0,Low,A,0.54
2669.0,Tiffany Smith,Female,0.8399999999999999,0.5454545454545455,A,0.3333333333333333,Medium,B,0.71
9289.0,Alexander Preston,Female,0.5999999999999996,0.0,A,0.6666666666666666,Medium,A,0.8200000000000001
8135.0,Randall Hickman,Male,0.48,0.4545454545454546,A,0.6666666666666666,Medium,A,0.72
